redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg
Whiston Hospital,whiston_hospital,RMN01,Whiston Hospital,L35 5DR,England,-2.7853229,53.4212302,E38000091,L35,Knowsley,6392.957489878542,1.2369356582651823,6688.038644760201,1.0663321876333205,-332.12740144536116,595.2635783780977,4519,1.103118988691126,0.45189282556394067,0.623189597855963,0.1554289787721138,0.3052853803815125
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ01,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,SW10,Kensington and Chelsea,15155.274580335732,3.9064391538141487,14757.283630771464,4.0453644086654705,1.042016666358894,8864.121718892668,14386.198275862067,4.407783160308271,0.05534889628829875,0.20373529064861776,0.45728050517605856,0.6294513650096626
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ91,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,SW10,Kensington and Chelsea,15155.274580335732,3.9064391538141487,14757.283630771464,4.0453644086654705,1.042016666358894,8864.121718892668,14386.198275862067,4.407783160308271,0.05534889628829875,0.20373529064861776,0.45728050517605856,0.6294513650096626
Dartford and Gravesham NHS Trust,dartford_and_grave,RN070,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.258883,51.4352521,E38000043,DA2,Dartford,17030.83821656051,-0.3755785139477707,17143.52683954,-0.4169683085924211,-5.302929658558506,11675.2387261934,17150,-0.7889868956315798,0.02015048841661958,0.13504526441164394,0.04247984747905479,0.12000455286403604
North West Anglia NHSFT,north_west_anglia,RNG90,Peterborough City Hospital,PE3 9GZ,England,-0.2785687,52.5837926,E38000026,PE3,Peterborough,19497.63372312335,-0.8667116029947189,19521.302840824406,-0.8586569789075222,-1.661461949698318,11784.570735142499,20484,-1.4407075328333332,0.036106192579873964,0.12237305718016132,0.026685267657527142,0.10549861983032557
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215,CA11,Eden,15099.182072829131,-1.2358682826984126,15423.694849252159,-1.3372371559433749,3.2298824982676515,7500.33362112617,15110,-1.9046593495251716,0.07222685308966233,0.1665476621109416,0.017199565921708633,0.0616988817765755
West Cumberland Hospital,west_cumberland_ho,RNNBX,West Cumberland Hospital,CA28 8JG,England,-3.5631756,54.5302041,E38000215,CA28,Copeland,15099.182072829131,-1.2358682826984126,15423.694849252159,-1.3372371559433749,3.2298824982676515,7500.33362112617,15110,-1.9046593495251716,0.07222685308966233,0.1665476621109416,0.017199565921708633,0.0616988817765755
Royal Preston Hospital,royal_preston_hosp,RNX02,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,PR2,Preston,15432.874223602485,-0.5950538043338509,15414.32598724969,-0.5696365066322745,2.123128689103269,6096.627009722718,13469.118210862622,-1.638383164230303,0.13460769814940646,0.31688916423518126,0.07646688516727287,0.18693792717534674
Homerton University Hospital,homerton_universit,RQZM1,Homerton University Hospital,E9 6SR,England,-0.0461232,51.5504182,E38000035,E9,Hackney,7995.709302325581,5.91309213425969,7883.16419843036,5.947452941595381,4.605107442671778,6035.364021855225,7170.357308584687,6.349124096191882,0.0920084579990655,0.4112939629843749,0.7336918215583943,0.9126600723839995
University Hospitals Birmingham,university_hospitaf,RRK01,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,10424.050087361677,1.3877220368322656,10294.254571948217,1.4785206974758067,0.990990825692656,2431.092675482698,7054,1.583729793304931,0.34750207653090454,0.4812557283611159,0.18958190124305435,0.377106067766512
University Hospitals Birmingham,university_hospitaf,RRK02,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,10424.050087361677,1.3877220368322656,10294.254571948217,1.4785206974758067,0.990990825692656,2431.092675482698,7054,1.583729793304931,0.34750207653090454,0.4812557283611159,0.18958190124305435,0.377106067766512
University Hospitals Birmingham,university_hospitaf,RRK03,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,10424.050087361677,1.3877220368322656,10294.254571948217,1.4785206974758067,0.990990825692656,2431.092675482698,7054,1.583729793304931,0.34750207653090454,0.4812557283611159,0.18958190124305435,0.377106067766512
Wirral University Teaching Hospital NHFT,wirral_university,RRL14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,CH49,Wirral,13144.99066293184,-0.3114394601251167,13277.800761766572,-0.40042517781643494,-3.7555813607439137,885.3400084936827,12510.635593220339,-1.0546250075416668,0.2542661742494129,0.35367421032387586,0.058114408833490214,0.15485501105437124
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,18179.963581183612,-1.2147123573034901,18741.052342075167,-1.382350712574253,-3.211725728513524,9273.53587604344,21083,-2.3585574393965016,0.07962213893523584,0.182910104515816,0.037796008495932745,0.09473262071799543
East Kent Hospitals NHSFT,east_kent_hospital,RV001,William Harvey Hospital (Ashford),TN24 0LZ,England,0.916223049163818,51.141487121582,E38000002,TN24,Ashford,17329.701333333334,-1.1092900670986667,17412.56493099122,-1.0973350844818068,-0.9865432511958929,12442.18425643502,17929,-1.7190724576,0.016777442436162637,0.12578419071518193,0.0023822442266607886,0.07958899928787005
